Fiscal Year,Service,Department,Project,Project ID,Fund,Fund Type,Thru FY Actuals,FY Approved
2016,"Streets, Transportation & Sanitation",Public Works Department,Crossroads Initiative,CPW22783,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cuneo Playground,CPR23569,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Cuneo Playground,CPR23569,City Bonds,G.O. Authorization,$0.00,$320000.00
2016,Information & Technology,Department of Innovation and Technology,Cyber Security and Resiliency,CMS24177,City Bonds,G.O. Authorization,$0.00,$3500000.00
2016,Information & Technology,Department of Innovation and Technology,Cyber Security and Resiliency,CMS24177,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Dana Avenue Bridge,CPW20098,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Dana Avenue Bridge,CPW20098,City Bonds,G.O. Authorization,$0.00,$360000.00
2016,Information & Technology,Department of Innovation and Technology,Data Analytics,CMS24178,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Data Analytics,CMS24178,City Bonds,G.O. Authorization,$0.00,$2340000.00
2016,Education,School Department,Dearborn 6-12 STEM / Early College Academy,CPS22878,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Dearborn 6-12 STEM / Early College Academy,CPS22878,State grant,Capital Grants,$0.00,$37370642.00
2016,Education,School Department,Dearborn 6-12 STEM / Early College Academy,CPS22878,State grant,Capital Grants,$0.00,$-0.17
2016,Education,School Department,Dearborn 6-12 STEM / Early College Academy,CPS22878,City Bonds,G.O. Authorization,$0.00,$36127653.00
2016,Public Safety,Fire Department,Diesel Exhaust System Replacement,CFD24102,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Diesel Exhaust System Replacement,CFD24102,City Bonds,G.O. Authorization,$0.00,$4811000.00
2016,Information & Technology,Department of Innovation and Technology,Digital Service Delivery and Engagement,CMS24159,City Bonds,G.O. Authorization,$0.00,$3000000.00
2016,Information & Technology,Department of Innovation and Technology,Digital Service Delivery and Engagement,CMS24159,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Environment Department,Distributed Energy Resource Design Services,CED24212,City Bonds,G.O. Authorization,$0.00,$320000.00
2016,Education,School Department,Door Replacement at Various Schools,CPS22696,City Bonds,G.O. Authorization,$0.00,$1819290.00
2016,Education,School Department,Door Replacement at Various Schools,CPS22696,City Bonds,G.O. Authorization,$0.00,$3979037.46
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Downer Avenue Park,CPR23796,City Bonds,G.O. Authorization,$0.00,$525000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Downer Avenue Park,CPR23796,City Bonds,G.O. Authorization,$0.00,$75000.00
2016,Arts & Culture,Library Department,Dudley Branch Library Renovation,CLD23928,City Bonds,G.O. Authorization,$0.00,$1300000.00
2016,Arts & Culture,Library Department,Dudley Branch Library Renovation,CLD23928,City Bonds,G.O. Authorization,$0.00,$13418000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Dudley Street,CTD23218,City Bonds,G.O. Authorization,$0.00,$2500000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Dudley Street,CTD23218,City Bonds,G.O. Authorization,$0.00,$6500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Dudley Town Common,CPR24237,City Bonds,G.O. Authorization,$0.00,$972000.00
2016,Economic Development,Boston Redevelopment Authority,East Boston Greenway,CBR23623,City Bonds,G.O. Authorization,$0.00,$1370000.00
2016,Economic Development,Boston Redevelopment Authority,East Boston Greenway,CBR23623,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,East Boston High School Windows,CPS24300,City Bonds,G.O. Authorization/Dudley,$0.00,$0.00
2016,Education,School Department,East Boston High School Windows,CPS24300,Revenue Calculations,G.O. Authorization/Dudley,$0.00,$3450000.00
2016,Public Safety,Police Department,East Boston Police Station Design,CPD24086,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,East Boston Police Station Design,CPD24086,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,Public Safety,Police Department,East Boston Police Station Study,CPD23657,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,East Boston Police Station Study,CPD23657,City Bonds,G.O. Authorization,$0.00,$75000.00
2016,Operations,Property and Construction Management,East Eagle Street Shoreline,CPM23189,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Operations,Property and Construction Management,East Eagle Street Shoreline,CPM23189,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Edwards Playground,CPR24238,City Bonds,G.O. Authorization,$0.00,$703000.00
2016,Arts & Culture,Library Department,Egleston Square Branch Library,CLD21628,City Bonds,G.O. Authorization,$0.00,$710000.00
2016,Arts & Culture,Library Department,Egleston Square Branch Library,CLD21628,City Bonds,G.O. Authorization,$0.00,$206267.00
2016,Education,School Department,Electrical Improvements at Various Schools ,CPS23851,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Electrical Improvements at Various Schools ,CPS23851,City Bonds,G.O. Authorization,$0.00,$3550000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Eliot Norton Park,CPR23571,City Bonds,G.O. Authorization,$0.00,$1127000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Eliot Norton Park,CPR23571,City Bonds,G.O. Authorization,$0.00,$90000.00
2016,Education,School Department,Eliot School Access Improvements,CPS24296,City Bonds,G.O. Authorization,$0.00,$4500000.00
2016,Education,School Department,Eliot School Access Improvements,CPS24296,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Eliot School at 585 Commercial Street,CPS23699,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Eliot School at 585 Commercial Street,CPS23699,City Bonds,G.O. Authorization,$0.00,$20450000.00
2016,Education,School Department,Eliot School at 585 Commercial Street,CPS23699,Surplus Property,Capital Grants,$0.00,$15800000.00
2016,Education,School Department,Eliot School at North Bennet Street,CPS23644,Surplus Property,Capital Grants,$0.00,$4390000.00
2016,Education,School Department,Eliot School at North Bennet Street,CPS23644,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Eliot School at North Bennet Street,CPS23644,Surplus Property,Capital Grants,$0.00,$-0.22
2016,Education,School Department,Eliot School at North Bennet Street,CPS23644,City Bonds,G.O. Authorization,$0.00,$18628867.00
2016,Public Safety,Police Department,Emergency 9-1-1 Backup Study,CPD24085,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,Public Safety,Police Department,Emergency 9-1-1 Backup Study,CPD24085,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Emergency Management,Emergency Operations Center,CEM24052,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,Public Safety,Emergency Management,Emergency Operations Center,CEM24052,Federal grant,Non Capital Fund,$0.00,$2000000.00
2016,Public Safety,Emergency Management,Emergency Operations Center,CEM24052,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Emergency Management,Emergency Operations Center,CEM24052,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,Public Safety,Emergency Management,Emergency Operations Center,CEM24052,City Bonds,G.O. Authorization,$0.00,$1500000.00
2016,Health & Human Services,Public Health Commission,EMS Garage/Storage Facility,CPH23915,City Bonds,G.O. Authorization,$0.00,$4950000.00
2016,Health & Human Services,Public Health Commission,EMS Garage/Storage Facility,CPH23915,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Public Health Commission,EMS Station Study,CPH23963,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,Health & Human Services,Public Health Commission,EMS Station Study,CPH23963,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Public Health Commission,EMS Training Academy,CPH24155,City Bonds,G.O. Authorization,$0.00,$50000.00
2016,"Environment, Energy & Open Space",Environment Department,Energy Efficiency Design Services,CED24211,City Bonds,G.O. Authorization,$0.00,$125000.00
2016,Public Safety,Fire Department,Engine 17,CFD24125,City Bonds,G.O. Authorization,$0.00,$13000000.00
2016,Public Safety,Fire Department,Engine 17,CFD24125,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Engine 33,CFD24128,City Bonds,G.O. Authorization,$0.00,$800000.00
2016,Public Safety,Fire Department,Engine 33,CFD24128,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Engine 42,CFD24126,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Engine 42,CFD24126,City Bonds,G.O. Authorization,$0.00,$10000000.00
2016,Public Safety,Fire Department,Engine 5,CFD23484,City Bonds,G.O. Authorization,$0.00,$925000.00
2016,Public Safety,Fire Department,Engine 5,CFD23484,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Engine 50,CFD23280,City Bonds,G.O. Authorization,$0.00,$3110000.00
2016,Public Safety,Fire Department,Engine 50,CFD23280,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,Education,School Department,English High School Building Envelope,CPS23991,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,English High School Building Envelope,CPS23991,City Bonds,G.O. Authorization,$0.00,$14975000.00
2016,Information & Technology,Department of Innovation and Technology,Enterprise Business Applications,CMS23490,City Bonds,G.O. Authorization,$0.00,$4000000.00
2016,Information & Technology,Department of Innovation and Technology,Enterprise Business Applications,CMS23490,City Bonds,G.O. Authorization,$0.00,$8295744.00
2016,Public Safety,Fire Department,Envelope Repairs at Engine 54,CFD24059,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Envelope Repairs at Engine 54,CFD24059,City Bonds,G.O. Authorization,$0.00,$1380000.00
2016,Education,School Department,Environmental and Sustainability Improvements at Various Schools,CPS24286,City Bonds,G.O. Authorization,$0.00,$3025000.00
2016,Education,School Department,Environmental and Sustainability Improvements at Various Schools,CPS24286,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Erie Ellington Playground,CPR23425,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Erie Ellington Playground,CPR23425,State grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Erie Ellington Playground,CPR23425,City Bonds,G.O. Authorization,$0.00,$631000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Erie Ellington Playground,CPR23425,State grant,Capital Grants,$0.00,$200000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Everett Street,CPW24186,Other funds,Capital Grants,$0.00,$500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Everett Street,CPW24186,State grant,Capital Grants,$0.00,$500000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Everett Street,CPW24186,Other funds,Capital Grants,$0.00,$0.00
2016,Education,School Department,Exterior Renovations at Various Schools,CPS23158,City Bonds,G.O. Authorization,$0.00,$2816039.00
2016,Education,School Department,Exterior Renovations at Various Schools,CPS23158,City Bonds,G.O. Authorization,$0.00,$3440885.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Fairview Cemetery Garage Building,CPR20290,City Bonds,G.O. Authorization,$0.00,$1503000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Fairview Cemetery Garage Building,CPR20290,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Fallon Field Playground,CPR24002,City Bonds,G.O. Authorization,$0.00,$685000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Fallon Field Playground,CPR24002,City Bonds,G.O. Authorization,$0.00,$75000.00
2016,Operations,Property and Construction Management,Family Justice Center Elevator,CPM23947,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,Family Justice Center Elevator,CPM23947,City Bonds,G.O. Authorization,$0.00,$350500.00
2016,Arts & Culture,Library Department,Faneuil Branch Library,CLD22668,City Bonds,G.O. Authorization,$0.00,$760000.00
2016,Arts & Culture,Library Department,Faneuil Branch Library,CLD22668,City Bonds,G.O. Authorization,$0.00,$358650.00
2016,Arts & Culture,Library Department,Faneuil Branch Library Study,CLD23847,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Faneuil Branch Library Study,CLD23847,City Bonds,G.O. Authorization,$0.00,$75000.00
2016,Operations,Property and Construction Management,Faneuil Hall,CPM23736,City Bonds,G.O. Authorization,$0.00,$310000.00
2016,Operations,Property and Construction Management,Faneuil Hall,CPM23736,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,Faneuil Hall HVAC ,CPM24124,City Bonds,G.O. Authorization,$0.00,$4655000.00
2016,Operations,Property and Construction Management,Faneuil Hall HVAC ,CPM24124,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Fenway High School,CPS23673,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Fenway High School,CPS23673,City Bonds,G.O. Authorization,$0.00,$12000000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Fenway Longwood Kenmore Improvements,CTD23354,State grant,Capital Grants,$0.00,$7000000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Fenway Longwood Kenmore Improvements,CTD23354,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Fenway Longwood Kenmore Improvements,CTD23354,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Fenway Longwood Kenmore Improvements,CTD23354,Revenue Calculations,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Fenway Longwood Kenmore Improvements,CTD23354,State grant,Non Capital Fund,$0.00,$5500000.00
2016,Information & Technology,Department of Innovation and Technology,Fiber Network Expansion,CMS24001,City Bonds,G.O. Authorization,$0.00,$3000000.00
2016,Information & Technology,Department of Innovation and Technology,Fiber Network Expansion,CMS24001,City Bonds,G.O. Authorization,$0.00,$7750000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Cassidy Field,CPR23884,City Bonds,G.O. Authorization,$0.00,$600000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Cassidy Field,CPR23884,City Bonds,G.O. Authorization,$0.00,$710000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Clifford Playground ,CPR23920,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Clifford Playground ,CPR23920,City Bonds,G.O. Authorization,$0.00,$415000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Doherty-Gibson Playground,CPR23886,City Bonds,G.O. Authorization,$0.00,$375000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Doherty-Gibson Playground,CPR23886,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Healy Field,CPR23641,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Healy Field,CPR23641,City Bonds,G.O. Authorization,$0.00,$700000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Malcolm X Park,CPR24069,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Malcolm X Park,CPR24069,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Moakley Park,CPR24214,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Parkman Playground,CPR24067,City Bonds,G.O. Authorization,$0.00,$800000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Parkman Playground,CPR24067,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Ronan Park,CPR24215,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Ronan Park,CPR24215,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Ryan Playground,CPR24068,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Ryan Playground,CPR24068,City Bonds,G.O. Authorization,$0.00,$150000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Smith Playground,CPR24216,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Smith Playground,CPR24216,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Various Locations,CPR23642,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Field Renovations at Various Locations,CPR23642,City Bonds,G.O. Authorization,$0.00,$1500000.00
2016,Health & Human Services,Public Health Commission,Finland Building,CPH23580,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Public Health Commission,Finland Building,CPH23580,City Bonds,G.O. Authorization,$0.00,$2837000.00
2016,Public Safety,Fire Department,Fire Boat,CFD23966,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,Fire Boat,CFD23966,City Bonds,G.O. Authorization,$0.00,$340000.00
2016,Public Safety,Fire Department,Fire Equipment,CFD23139,City Bonds,G.O. Authorization,$0.00,$26503000.00
2016,Public Safety,Fire Department,Fire Equipment,CFD23139,City Bonds,G.O. Authorization,$0.00,$1200000.00
2016,Public Safety,Fire Department,Fire Headquarters Repairs,CFD24099,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,Public Safety,Fire Department,Fire Headquarters Repairs,CFD24099,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Fire Systems at Various Schools,CPS24325,City Bonds,G.O. Authorization,$0.00,$2500000.00
2016,Education,School Department,Fire Systems at Various Schools,CPS24325,City Bonds,G.O. Authorization,$0.00,$2000000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Franklin Park Gateway and Paths,CPR23475,City Bonds,G.O. Authorization,$0.00,$760000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Franklin Park Gateway and Paths,CPR23475,City Bonds,G.O. Authorization,$0.00,$750000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Franklin Park Master Plan Update,CPR24132,City Bonds,G.O. Authorization,$0.00,$75000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Freedom Trail,CPW23784,City Bonds,G.O. Authorization,$0.00,$700000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Freedom Trail,CPW23784,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,FrogÊPondÊMasterÊPlanÊStudy,CPR24133,City Bonds,G.O. Authorization,$0.00,$150000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,FrogÊPondÊMasterÊPlanÊStudy,CPR24133,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Frog Pond,CPR23572,City Bonds,G.O. Authorization,$0.00,$150000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Frog Pond,CPR23572,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Garage for Specialized Vehicles,CPD23969,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Garage for Specialized Vehicles,CPD23969,City Bonds,G.O. Authorization,$0.00,$100000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Gardner Street Landfill Phase IA,CPW21922,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Gardner Street Landfill Phase IA,CPW21922,State grant,Capital Grants,$0.00,$15777800.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Gardner Street Landfill Phase IA,CPW21922,City Bonds,G.O. Authorization,$0.00,$1396200.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Gardner Street Landfill Phase IA,CPW21922,State grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,General Parks Improvements,CPR23077,Other funds,Capital Grants,$0.00,$39864.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,General Parks Improvements,CPR23077,City Bonds,G.O. Authorization,$0.00,$3545708.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,General Parks Improvements,CPR23077,City Bonds,G.O. Authorization,$0.00,$1900000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course,CPR23078,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course,CPR23078,City Bonds,G.O. Authorization,$0.00,$2199022.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course,CPR23078,Other funds,Capital Grants,$0.00,$5605.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course Clubhouse,CPR23205,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course Clubhouse,CPR23205,Other funds,Capital Grants,$0.00,$59340.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course Clubhouse,CPR23205,City Bonds,G.O. Authorization,$0.00,$4940660.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course Water Main,CPR24033,City Bonds,G.O. Authorization,$0.00,$250000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,George Wright Golf Course Water Main,CPR24033,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Gun Range at Moon Island,CPD20654,City Bonds,G.O. Authorization,$0.00,$2800000.00
2016,Public Safety,Police Department,Gun Range at Moon Island,CPD20654,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Harambee Park Master Plan,CPR23774,City Bonds,G.O. Authorization,$0.00,$125000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Harambee Park Master Plan,CPR23774,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Economic Development,Boston Redevelopment Authority,Harrison Avenue Improvements,CBR23825,City Bonds,G.O. Authorization,$0.00,$3820000.00
2016,Economic Development,Boston Redevelopment Authority,Harrison Avenue Improvements,CBR23825,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Healy Field Playground,CPR24220,City Bonds,G.O. Authorization,$0.00,$665000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Hemenway Playground,CPR23604,City Bonds,G.O. Authorization,$0.00,$350000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Hemenway Playground,CPR23604,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Historic Cemeteries,CPR22914,City Bonds,G.O. Authorization,$0.00,$1220000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Historic Cemeteries,CPR22914,State grant,Capital Grants,$0.00,$230000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Historic Cemeteries,CPR22914,State grant,Capital Grants,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Historic Cemeteries,CPR22914,State grant,Non Capital Fund,$0.00,$166117.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Historic Cemeteries,CPR22914,City Bonds,G.O. Authorization,$0.00,$520000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Horatio Harris Park,CPR23603,City Bonds,G.O. Authorization,$0.00,$370000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Horatio Harris Park,CPR23603,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Human Resources System Upgrade,CMS23829,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Information & Technology,Department of Innovation and Technology,Human Resources System Upgrade,CMS23829,City Bonds,G.O. Authorization,$0.00,$15000000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Hunt/Almont Playground,CPR22915,City Bonds,G.O. Authorization,$0.00,$4697743.08
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Hunt/Almont Playground,CPR22915,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Fire Department,HVAC / Boiler Replacement at Various Stations,CFD23144,City Bonds,G.O. Authorization,$0.00,$2100000.00
2016,Public Safety,Fire Department,HVAC / Boiler Replacement at Various Stations,CFD23144,Other funds,Capital Grants,$0.00,$89091.00
2016,Public Safety,Fire Department,HVAC / Boiler Replacement at Various Stations,CFD23144,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,Education,School Department,HVAC Improvements at Dorchester Academy,CPS23810,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,HVAC Improvements at Dorchester Academy,CPS23810,City Bonds,G.O. Authorization,$0.00,$450000.00
2016,Education,School Department,HVAC Improvements at Various Schools,CPS23162,City Bonds,G.O. Authorization,$0.00,$5215585.72
2016,Education,School Department,HVAC Improvements at Various Schools,CPS23162,City Bonds,G.O. Authorization,$0.00,$5484133.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Iacono Playground,CPR23602,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Iacono Playground,CPR23602,City Bonds,G.O. Authorization,$0.00,$730000.00
2016,Mayor's Office,Office of New Urban Mechanics,Innovation Fund,CNU24015,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,Mayor's Office,Office of New Urban Mechanics,Innovation Fund,CNU24015,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Interior Refurbishments at Various Schools,CPS23164,City Bonds,G.O. Authorization,$0.00,$4518773.52
2016,Education,School Department,Interior Refurbishments at Various Schools,CPS23164,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Arts & Culture,Library Department,Jamaica Plain Branch Library,CLD23236,City Bonds,G.O. Authorization,$0.00,$10000000.00
2016,Arts & Culture,Library Department,Jamaica Plain Branch Library,CLD23236,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Dock Rehabilitation,CPR23755,City Bonds,G.O. Authorization,$0.00,$144000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Dock Rehabilitation,CPR23755,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Outfall Pipe Replacement,CPR24004,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Outfall Pipe Replacement,CPR24004,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Pathways,CPR24226,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Jamaica Pond Pathways,CPR24226,City Bonds,G.O. Authorization,$0.00,$0.00
