Fiscal Year,Cabinet,Department,Program,Expense Type,Expense Category,Recommended Amount,Approved Amount,Account Name,Fund,Fund Type,Program Number,Account Number
2012,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Contracted Services,$2493.55,$2493.55,Contracted Services, General Fund , Tax Supported Funds ,114100,52900
2012,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Communications,$959.09,$959.09,Communications, General Fund , Tax Supported Funds ,114200,52100
2012,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,114200,52900
2012,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,182200,52100
2012,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Transportation of Persons,$516.71,$516.71,Transportation of Persons, General Fund , Tax Supported Funds ,182200,52800
2012,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Contracted Services,$190.00,$190.00,Contracted Services, General Fund , Tax Supported Funds ,182200,52900
2012,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Communications,$2907.43,$2907.43,Communications, General Fund , Tax Supported Funds ,182300,52100
2012,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Repairs & Service To Equipment,$846.80,$846.80,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,182300,52700
2012,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Transportation of Persons,$50.00,$50.00,Transportation of Persons, General Fund , Tax Supported Funds ,182300,52800
2013,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Contracted Services,$9799.68,$9799.68,Contracted Services, General Fund , Tax Supported Funds ,114100,52900
2012,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Contracted Services,$1133.69,$1133.69,Contracted Services, General Fund , Tax Supported Funds ,182300,52900
2012,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Communications,$19024.22,$19024.22,Communications, General Fund , Tax Supported Funds ,416100,52100
2012,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Utilities,$144650.61,$144650.61,Utilities, General Fund , Tax Supported Funds ,416100,52200
2012,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Repairs & Service To Equipment,$256.85,$256.85,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416100,52700
2012,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Contracted Services,$1880.29,$1880.29,Contracted Services, General Fund , Tax Supported Funds ,416100,52900
2012,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Communications,$994.96,$994.96,Communications, General Fund , Tax Supported Funds ,416200,52100
2012,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,416200,52800
2012,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Contracted Services,$4000.00,$4000.00,Contracted Services, General Fund , Tax Supported Funds ,416200,52900
2012,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Communications,$531.64,$531.64,Communications, General Fund , Tax Supported Funds ,416300,52100
2012,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Repairs & Service To Equipment,$1095.81,$1095.81,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416300,52700
2012,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Contracted Services,$140000.00,$140000.00,Contracted Services, General Fund , Tax Supported Funds ,416300,52900
2012,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Communications,$248.76,$248.76,Communications, General Fund , Tax Supported Funds ,416400,52100
2012,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Contracted Services,$19888.10,$19888.10,Contracted Services, General Fund , Tax Supported Funds ,416400,52900
2015,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,416200,52900
2015,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,416300,52100
2015,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,416400,52100
2015,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Communications,$4416.00,$4416.00,Communications, General Fund , Tax Supported Funds ,114100,52100
2015,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Repairs & Service To Equipment,$1796.00,$1796.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,114100,52700
2015,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Contracted Services,$6250.00,$6250.00,Contracted Services, General Fund , Tax Supported Funds ,416400,52900
2015,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Contracted Services,$9150.00,$9150.00,Contracted Services, General Fund , Tax Supported Funds ,114100,52900
2015,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Communications,$1500.00,$1500.00,Communications, General Fund , Tax Supported Funds ,114200,52100
2015,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Contracted Services,$2750.00,$2750.00,Contracted Services, General Fund , Tax Supported Funds ,114200,52900
2015,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Communications,$1000.00,$1000.00,Communications, General Fund , Tax Supported Funds ,182200,52100
2015,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Transportation of Persons,$2754.00,$2754.00,Transportation of Persons, General Fund , Tax Supported Funds ,182200,52800
2013,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Communications,$3084.59,$3084.59,Communications, General Fund , Tax Supported Funds ,114100,52100
2013,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Repairs & Service To Equipment,$791.14,$791.14,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,114100,52700
2013,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Communications,$672.73,$672.73,Communications, General Fund , Tax Supported Funds ,114200,52100
2013,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,114200,52900
2013,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,182200,52100
2013,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Transportation of Persons,$1068.94,$1068.94,Transportation of Persons, General Fund , Tax Supported Funds ,182200,52800
2013,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Contracted Services,$34.65,$34.65,Contracted Services, General Fund , Tax Supported Funds ,182200,52900
2013,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Communications,$3000.64,$3000.64,Communications, General Fund , Tax Supported Funds ,182300,52100
2013,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,182300,52700
2013,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Transportation of Persons,$484.00,$484.00,Transportation of Persons, General Fund , Tax Supported Funds ,182300,52800
2013,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Contracted Services,$171.07,$171.07,Contracted Services, General Fund , Tax Supported Funds ,182300,52900
2013,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Communications,$15250.56,$15250.56,Communications, General Fund , Tax Supported Funds ,416100,52100
2013,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Utilities,$185244.77,$185244.77,Utilities, General Fund , Tax Supported Funds ,416100,52200
2013,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Repairs & Service To Equipment,$730.20,$730.20,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416100,52700
2013,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Contracted Services,$12725.37,$12725.37,Contracted Services, General Fund , Tax Supported Funds ,416100,52900
2013,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Communications,$793.87,$793.87,Communications, General Fund , Tax Supported Funds ,416200,52100
2013,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Transportation of Persons,$2004.13,$2004.13,Transportation of Persons, General Fund , Tax Supported Funds ,416200,52800
2013,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Contracted Services,$5000.00,$5000.00,Contracted Services, General Fund , Tax Supported Funds ,416200,52900
2013,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Communications,$364.20,$364.20,Communications, General Fund , Tax Supported Funds ,416300,52100
2013,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416300,52700
2013,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Contracted Services,$3080.00,$3080.00,Contracted Services, General Fund , Tax Supported Funds ,416300,52900
2013,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Communications,$198.51,$198.51,Communications, General Fund , Tax Supported Funds ,416400,52100
2013,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Contracted Services,$19974.73,$19974.73,Contracted Services, General Fund , Tax Supported Funds ,416400,52900
2015,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Contracted Services,$1000.00,$1000.00,Contracted Services, General Fund , Tax Supported Funds ,182200,52900
2015,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416300,52700
2015,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Communications,$3500.00,$3500.00,Communications, General Fund , Tax Supported Funds ,182300,52100
2015,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Repairs & Service To Equipment,$1150.00,$1150.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,182300,52700
2015,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Contracted Services,$250.00,$250.00,Contracted Services, General Fund , Tax Supported Funds ,416300,52900
2015,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Transportation of Persons,$550.00,$550.00,Transportation of Persons, General Fund , Tax Supported Funds ,182300,52800
2015,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Contracted Services,$4500.00,$4500.00,Contracted Services, General Fund , Tax Supported Funds ,182300,52900
2014,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Communications,$4416.00,$4416.00,Communications, General Fund , Tax Supported Funds ,114100,52100
2014,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Repairs & Service To Equipment,$1796.03,$1796.03,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,114100,52700
2014,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,Contracted Services,$13500.00,$13500.00,Contracted Services, General Fund , Tax Supported Funds ,114100,52900
2014,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Communications,$1500.00,$1500.00,Communications, General Fund , Tax Supported Funds ,114200,52100
2014,Economic Development Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,Contracted Services,$4800.00,$4800.00,Contracted Services, General Fund , Tax Supported Funds ,114200,52900
2014,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Communications,$1000.00,$1000.00,Communications, General Fund , Tax Supported Funds ,182200,52100
2014,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Transportation of Persons,$2754.00,$2754.00,Transportation of Persons, General Fund , Tax Supported Funds ,182200,52800
2014,Economic Development Cabinet,Office of Economic Development,Boston Residents Jobs Policy,Contractual Services,Contracted Services,$1000.00,$1000.00,Contracted Services, General Fund , Tax Supported Funds ,182200,52900
2014,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Communications,$3500.00,$3500.00,Communications, General Fund , Tax Supported Funds ,182300,52100
2014,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Repairs & Service To Equipment,$1150.00,$1150.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,182300,52700
2014,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Transportation of Persons,$377.00,$377.00,Transportation of Persons, General Fund , Tax Supported Funds ,182300,52800
2014,Economic Development Cabinet,Office of Economic Development,Small & Local Business,Contractual Services,Contracted Services,$1500.00,$1500.00,Contracted Services, General Fund , Tax Supported Funds ,182300,52900
2014,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Communications,$21900.00,$21900.00,Communications, General Fund , Tax Supported Funds ,416100,52100
2014,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Utilities,$179602.98,$179602.98,Utilities, General Fund , Tax Supported Funds ,416100,52200
2014,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Repairs & Service To Equipment,$2250.00,$2250.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416100,52700
2014,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Contracted Services,$27270.00,$27270.00,Contracted Services, General Fund , Tax Supported Funds ,416100,52900
2014,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,416200,52100
2014,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,416200,52800
2014,Economic Development Cabinet,Office of Tourism,Arts Promotion,Contractual Services,Contracted Services,$29000.00,$29000.00,Contracted Services, General Fund , Tax Supported Funds ,416200,52900
2014,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,416300,52100
2014,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Repairs & Service To Equipment,$0.00,$0.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416300,52700
2014,Economic Development Cabinet,Office of Tourism,Film & Special Events,Contractual Services,Contracted Services,$4700.00,$4700.00,Contracted Services, General Fund , Tax Supported Funds ,416300,52900
2014,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,416400,52100
2014,Economic Development Cabinet,Office of Tourism,Tourism,Contractual Services,Contracted Services,$22500.00,$22500.00,Contracted Services, General Fund , Tax Supported Funds ,416400,52900
2015,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Communications,$11480.00,$11480.00,Communications, General Fund , Tax Supported Funds ,416100,52100
2015,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Utilities,$0.00,$0.00,Utilities, General Fund , Tax Supported Funds ,416100,52200
2015,Economic Development Cabinet,Office of Tourism,Tourism Administration,Contractual Services,Repairs & Service To Equipment,$1750.00,$1750.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,416100,52700
2013,Arts & Culture,Library Department,Library Administration,Contractual Services,Contracted Services,$1286534.17,$1286534.17,Contracted Services, General Fund , Tax Supported Funds ,110100,52900
2013,Arts & Culture,Library Department,Community Library Services,Contractual Services,Transportation of Persons,$24446.00,$24446.00,Transportation of Persons, General Fund , Tax Supported Funds ,110200,52800
2013,Arts & Culture,Library Department,Community Library Services,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,110200,52900
2013,Arts & Culture,Library Department,Research Library Services,Contractual Services,Transportation of Persons,$5802.00,$5802.00,Transportation of Persons, General Fund , Tax Supported Funds ,110300,52800
2013,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,414100,52100
2013,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Utilities,$0.00,$0.00,Utilities, General Fund , Tax Supported Funds ,414100,52200
2013,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,414100,52900
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Contracted Services,$869614.00,$869614.00,Contracted Services, General Fund , Tax Supported Funds ,110100,52900
2015,Arts & Culture,Library Department,Community Library Services,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,110200,52800
2015,Arts & Culture,Library Department,Community Library Services,Contractual Services,Contracted Services,$440000.00,$440000.00,Contracted Services, General Fund , Tax Supported Funds ,110200,52900
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Communications,$45000.00,$45000.00,Communications, General Fund , Tax Supported Funds ,110100,52100
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Communications,$45000.00,$45000.00,Communications, General Fund , Tax Supported Funds ,110100,52100
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Utilities,$3594739.40,$3594739.40,Utilities, General Fund , Tax Supported Funds ,110100,52200
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Repairs Buildings & Structures,$2024976.00,$2024976.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,110100,52600
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Repairs & Service To Equipment,$202298.00,$202298.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,110100,52700
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Transportation of Persons,$61085.00,$61085.00,Transportation of Persons, General Fund , Tax Supported Funds ,110100,52800
2014,Arts & Culture,Library Department,Library Administration,Contractual Services,Contracted Services,$1274265.00,$1274265.00,Contracted Services, General Fund , Tax Supported Funds ,110100,52900
2014,Arts & Culture,Library Department,Community Library Services,Contractual Services,Transportation of Persons,$3290.00,$3290.00,Transportation of Persons, General Fund , Tax Supported Funds ,110200,52800
2014,Arts & Culture,Library Department,Community Library Services,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,110200,52900
2014,Arts & Culture,Library Department,Research Library Services,Contractual Services,Transportation of Persons,$525.00,$525.00,Transportation of Persons, General Fund , Tax Supported Funds ,110300,52800
2014,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,414100,52100
2014,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Utilities,$0.00,$0.00,Utilities, General Fund , Tax Supported Funds ,414100,52200
2014,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,414100,52900
2015,Arts & Culture,Library Department,Research Library Services,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,110300,52800
2015,"Streets, Transportation & Sanitation",Public Works Department,Street Lights & Signals,Contractual Services,Communications,$24440.00,$24440.00,Communications, General Fund , Tax Supported Funds ,311700,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,Bridge Operations/Maintenance,Contractual Services,Contracted Services,$2000.00,$2000.00,Contracted Services, General Fund , Tax Supported Funds ,311600,52900
2015,"Streets, Transportation & Sanitation",Public Works Department,Bridge Operations/Maintenance,Contractual Services,Repairs & Service To Equipment,$4000.00,$4000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311600,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,Bridge Operations/Maintenance,Contractual Services,Repairs Buildings & Structures,$600000.00,$600000.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,311600,52600
2015,"Streets, Transportation & Sanitation",Public Works Department,Bridge Operations/Maintenance,Contractual Services,Utilities,$11550.00,$11550.00,Utilities, General Fund , Tax Supported Funds ,311600,52200
2015,"Streets, Transportation & Sanitation",Public Works Department,Bridge Operations/Maintenance,Contractual Services,Communications,$9000.00,$9000.00,Communications, General Fund , Tax Supported Funds ,311600,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,Highway Field Operations,Contractual Services,Contracted Services,$5336854.58,$5336854.58,Contracted Services, General Fund , Tax Supported Funds ,311500,52900
2015,"Streets, Transportation & Sanitation",Public Works Department,Highway Field Operations,Contractual Services,Repairs & Service To Equipment,$776000.00,$776000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311500,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,Highway Field Operations,Contractual Services,Utilities,$16500.00,$16500.00,Utilities, General Fund , Tax Supported Funds ,311500,52200
2015,"Streets, Transportation & Sanitation",Public Works Department,Highway Field Operations,Contractual Services,Communications,$9735.00,$9735.00,Communications, General Fund , Tax Supported Funds ,311500,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,Construction Management,Contractual Services,Contracted Services,$8000.00,$8000.00,Contracted Services, General Fund , Tax Supported Funds ,311400,52900
2015,"Streets, Transportation & Sanitation",Public Works Department,Construction Management,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,311400,52800
2015,"Streets, Transportation & Sanitation",Public Works Department,Construction Management,Contractual Services,Repairs & Service To Equipment,$14300.00,$14300.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311400,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,Construction Management,Contractual Services,Communications,$6250.00,$6250.00,Communications, General Fund , Tax Supported Funds ,311400,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,Engineering,Contractual Services,Contracted Services,$792084.00,$792084.00,Contracted Services, General Fund , Tax Supported Funds ,311300,52900
2015,"Streets, Transportation & Sanitation",Public Works Department,Engineering,Contractual Services,Repairs & Service To Equipment,$10060.00,$10060.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311300,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,Engineering,Contractual Services,Communications,$4045.00,$4045.00,Communications, General Fund , Tax Supported Funds ,311300,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,Building/Facility Maintenance,Contractual Services,Repairs & Service To Equipment,$49000.00,$49000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311200,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,Building/Facility Maintenance,Contractual Services,Repairs Buildings & Structures,$800000.00,$800000.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,311200,52600
2015,"Streets, Transportation & Sanitation",Public Works Department,Building/Facility Maintenance,Contractual Services,Utilities,$1251903.51,$1251903.51,Utilities, General Fund , Tax Supported Funds ,311200,52200
2015,"Streets, Transportation & Sanitation",Public Works Department,Building/Facility Maintenance,Contractual Services,Communications,$42700.00,$42700.00,Communications, General Fund , Tax Supported Funds ,311200,52100
2015,"Streets, Transportation & Sanitation",Public Works Department,PWD Commissioner's Office,Contractual Services,Contracted Services,$36500.00,$36500.00,Contracted Services, General Fund , Tax Supported Funds ,311100,52900
2015,"Streets, Transportation & Sanitation",Public Works Department,PWD Commissioner's Office,Contractual Services,Transportation of Persons,$4600.00,$4600.00,Transportation of Persons, General Fund , Tax Supported Funds ,311100,52800
2015,"Streets, Transportation & Sanitation",Public Works Department,PWD Commissioner's Office,Contractual Services,Repairs & Service To Equipment,$18200.00,$18200.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,311100,52700
2015,"Streets, Transportation & Sanitation",Public Works Department,PWD Commissioner's Office,Contractual Services,Communications,$115000.00,$115000.00,Communications, General Fund , Tax Supported Funds ,311100,52100
2015,"Streets, Transportation & Sanitation","Office of Streets, Transportation and Sanitation",Admin & Finance,Contractual Services,Contracted Services,$0.00,$0.00,Contracted Services, General Fund , Tax Supported Funds ,310100,52900
2015,"Streets, Transportation & Sanitation","Office of Streets, Transportation and Sanitation",Admin & Finance,Contractual Services,Transportation of Persons,$1200.00,$1200.00,Transportation of Persons, General Fund , Tax Supported Funds ,310100,52800
2015,"Streets, Transportation & Sanitation","Office of Streets, Transportation and Sanitation",Admin & Finance,Contractual Services,Repairs & Service To Equipment,$11912.00,$11912.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,310100,52700
2015,"Streets, Transportation & Sanitation","Office of Streets, Transportation and Sanitation",Admin & Finance,Contractual Services,Communications,$0.00,$0.00,Communications, General Fund , Tax Supported Funds ,310100,52100
2015,"Streets, Transportation & Sanitation",Transportation Department,Parking Clerk,Contractual Services,Contracted Services,$4951700.00,$4951700.00,Contracted Services, General Fund , Tax Supported Funds ,253100,52900
2015,"Streets, Transportation & Sanitation",Transportation Department,Parking Clerk,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,253100,52800
2015,"Streets, Transportation & Sanitation",Transportation Department,Parking Clerk,Contractual Services,Repairs & Service To Equipment,$15000.00,$15000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,253100,52700
2015,"Streets, Transportation & Sanitation",Transportation Department,Parking Clerk,Contractual Services,Communications,$20000.00,$20000.00,Communications, General Fund , Tax Supported Funds ,253100,52100
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Contracted Services,$571000.00,$571000.00,Contracted Services, General Fund , Tax Supported Funds ,251500,52900
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Repairs & Service To Equipment,$232150.00,$232150.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,251500,52700
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Repairs Buildings & Structures,$23300.00,$23300.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,251500,52600
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Garbage/Waste Removal,$0.00,$0.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,251500,52500
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Utilities,$4000.00,$4000.00,Utilities, General Fund , Tax Supported Funds ,251500,52200
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Operations,Contractual Services,Communications,$107000.00,$107000.00,Communications, General Fund , Tax Supported Funds ,251500,52100
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Enforcement,Contractual Services,Contracted Services,$175000.00,$175000.00,Contracted Services, General Fund , Tax Supported Funds ,251400,52900
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Enforcement,Contractual Services,Transportation of Persons,$2000.00,$2000.00,Transportation of Persons, General Fund , Tax Supported Funds ,251400,52800
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Enforcement,Contractual Services,Repairs & Service To Equipment,$400000.00,$400000.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,251400,52700
2015,"Streets, Transportation & Sanitation",Transportation Department,Traffic Enforcement,Contractual Services,Repairs Buildings & Structures,$37999.00,$37999.00,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,251400,52600
